Scholarship_Name,Tổ chức cấp học bổng,Loại học bổng,Mức tài trợ,Chi tiết tài trợ,Hình thức mở đơn,Tháng mở đơn (thường niên),Ngày bắt đầu nhận hồ sơ,Ngày kết thúc nộp hồ sơ,Số lượng suất (nếu có),Dành cho sinh viên Việt Nam,Giới hạn đối tượng,Danh sách giới hạn đối tượng (nếu có),Giới hạn ngành nghề,Danh sách nhóm ngành / ngành cụ thể,Bằng cấp yêu cầu,GPA tối thiểu,Yêu cầu xếp hạng / liên quan ngành học,Kinh nghiệm yêu cầu,Năng lực & thành tích (requirements.competencies),Điều kiện gia hạn học bổng,Hồ sơ yêu cầu,Quy trình nộp hồ sơ,Liên kết học bổng (URL),Ghi chú (nếu có),Thường niên (Có/Không/Chưa rõ),,,
Pioneering Women in STEM (Swedish Institute),Swedish Institute (SI),Chính phủ,Toàn phần,"Học phí, sinh hoạt (fully-funded) cho nữ lĩnh vực STEM",Tự nộp trực tuyến,Q4–Q1,Theo call,Theo call,Chưa rõ,Có,Nữ; quốc gia mục tiêu Châu Á/Châu Phi,Theo danh sách SI,STEM,Master tại ĐH Thụy Điển,Cử nhân,Chưa rõ,Chưa rõ,Không bắt buộc,"Nữ lãnh đạo, tiềm năng đổi mới",Theo quy định SI,Hồ sơ online,Nộp trên cổng SI,https://si.se/en/apply/scholarships/pioneeringwomeninstem/,,Có,,,
IKEA and Södra Scholarship (The Bridge – Linnaeus University),Linnaeus University (hợp tác IKEA & Södra),Trường,Phần/Toàn phần (tuỳ năm),"4 suất/năm cho Innovation through Business, Engineering and Design (3 suất, mỗi discipline 1) & Forestry for Green Sustainable Development (1 suất)",Tự nộp trực tuyến,2,Đầu 02 hằng năm,Theo hướng dẫn email (đầu 2/2025),4 suất/năm,Có,Mở toàn cầu,Không,Giới hạn theo 2 chương trình nêu trên,Master tại LNU ngành chỉ định,Cử nhân,Chưa rõ,Chưa rõ,Không bắt buộc,Học thuật + động lực,Theo quy định LNU,Hồ sơ online theo link gửi email,Nộp theo hướng dẫn LNU,https://lnu.se/en/education/study-at-linnaeus-university/scholarships/the-ikea-and-sodra-scholarship/,,Có,,,
Brunel University – British Council Women in STEM Scholarship,Brunel University London & British Council,Quỹ / Tổ chức,Toàn phần,"Học phí, sinh hoạt (tới 12 tháng), vé máy bay, IELTS, visa, NHS surcharge",Tự nộp trực tuyến,Q4–Q1,Theo call,Theo call,5 suất (VN/MY/MM/PH),Có,Nữ từ các nước chỉ định,Theo danh sách BC,STEM,Master toàn thời gian tại Brunel,Cử nhân,Chưa rõ,Chưa rõ,Không bắt buộc,"Nữ, năng lực học thuật, cam kết",Theo tiến độ,HS online,Nộp qua Brunel,https://www.brunel.ac.uk/scholarships/british-council-scholarships-for-women-in-stem-202526,,Có,,,
Hornby Trust Scholarship (University of Exeter),A.S. Hornby Educational Trust,Quỹ / Tổ chức,Toàn phần,Học phí chương trình MEd TESOL tại Exeter + hỗ trợ,Tự nộp trực tuyến,Q4–Q1,Theo call,Theo call,Chưa rõ,Có,Chuyên gia ELT quốc tế,ELT professionals,Ngôn ngữ/giảng dạy tiếng Anh,MEd TESOL tại Exeter,Cử nhân,Chưa rõ,Chưa rõ,Kinh nghiệm ELT,Thành tích/tiềm năng giảng dạy,Theo quy định Hornby,HS online + phỏng vấn,Nộp qua Trust/Exeter,https://www.hornby-trust.org.uk/ma-tesol-scholarships/,,Có,,,
Japanese Grant Aid for Human Resource Development Scholarship (JDS),Chính phủ Nhật Bản (JICA/JDS),Chính phủ,Toàn phần,"Học phí, vé máy bay, stipend, phụ cấp khác",Tự nộp (qua kênh quốc gia),Q2–Q3,Theo thông báo quốc gia,Theo thông báo quốc gia,Chưa rõ,Có,Công chức/viên chức theo tiêu chí quốc gia,Theo từng nước/ưu tiên,Ngành ưu tiên phát triển,Master/PhD tại ĐH Nhật,Cử nhân,Chưa rõ,Chưa rõ,Kinh nghiệm công vụ,"Năng lực lãnh đạo, cam kết phát triển",Theo diện JDS,Hồ sơ theo hướng dẫn quốc gia,Nộp qua cổng JDS quốc gia,https://jds-scholarship.org/country/vietnam/index.html,,Có,,,
MacSon Entrance Scholarship for International Students (University of Guelph),University of Guelph,Trường,CAD 17,500 (x2 giải; trả trong 3 học kỳ),"2 giải x CAD 17,500; hạn 15/08; theo hệ thống giải thưởng UofG",Tự nộp trực tuyến,Q3,Chưa rõ,15/08 hằng năm,2 giải/năm,Có,Mở toàn cầu,Không,Không giới hạn,Bất kỳ chương trình sau ĐH (UofG),Cử nhân,Chưa rõ,Chưa rõ,Không bắt buộc,"Học thuật, đề xuất nghiên cứu, thư giới thiệu",Theo quy định UofG,Form College/Dept + hồ sơ,Nộp qua hệ thống UofG,https://www.uoguelph.ca/registrar/studentfinance/apps/grawards?id=E8020,,Có,,
VLIR-UOS ICP Connect Scholarships,VLIR-UOS (Flanders,Belgium),Quỹ / Tổ chức,Toàn phần,"Học phí, sinh hoạt, bảo hiểm, đi lại (tuỳ chương trình ICP)",Tự nộp trực tiếp cho ICP,Q4–Q1,Theo từng ICP,Theo từng ICP,Chưa rõ,Có,Quốc tịch trong danh sách 29 nước,Theo danh sách ICP,Theo chương trình ICP,Cử nhân (hoặc tương đương),Cử nhân,Chưa rõ,Chưa rõ,Kinh nghiệm phù hợp (tuỳ ICP),"Học thuật, cam kết phát triển",Theo ICP,HS theo hướng dẫn ICP,Nộp trực tiếp cho ICP,https://www.vliruos.be/get-funded/study-scholarships,,Có,,
UNIL Master’s Grants – University of Lausanne (bản 1),University of Lausanne (UNIL),Trường,CHF 1.600/tháng (10 tháng/năm),Trong suốt thời lượng chương trình (1.5–2 năm); số lượng ~10/năm,Tự nộp trực tuyến,Q3–Q4,Theo call,01/11 hằng năm,~10/năm,Có,Mở toàn cầu,Không,Theo chương trình được chấp nhận,Master tại UNIL,Cử nhân,Chưa rõ,Chưa rõ,Không bắt buộc,Học thuật xuất sắc; ngoại ngữ theo chương trình,Theo quy định UNIL,Hồ sơ online,Nộp qua form UNIL,https://www.scholars4dev.com/6578/switzerland-univeristy-lausanne-scholarships-for-international-students/,Trang UNIL bị chặn robots.txt; dùng tóm tắt chính thức đã lưu,Có,,,
Clarendon Fund Scholarships - University of Oxford,University of Oxford (Clarendon),Trường,Toàn phần,Miễn học phí + sinh hoạt (số lượng ~200/năm),Tự động xét cùng hồ sơ,Chưa rõ,Theo vòng Oxford,Theo vòng Oxford,~200/năm,Có,Mở toàn cầu,Không,Không giới hạn,Mọi ngành sau ĐH tại Oxford,Cử nhân,Chưa rõ,Chưa rõ,Không bắt buộc,Xuất sắc học thuật,Theo quy định Clarendon,Hồ sơ Oxford,Được xét tự động,https://www.ox.ac.uk/clarendon,,Có,,,
International Cultural Service Program (ICSP) Scholarship - University of Oregon,University of Oregon,Trường,Giảm học phí (khoảng 50%),Đổi lại nghĩa vụ trình bày văn hoá cộng đồng (service requirement),Tự nộp trực tuyến,Q4–Q1,Theo call,Theo call,Chưa rõ,Có,Mở toàn cầu,Không,Không giới hạn,UG/PG tại UOregon,Cử nhân (vào Master/UG),Chưa rõ,Chưa rõ,Không bắt buộc,Nhu cầu tài chính + thành tích + năng lực trình bày,Theo tiến độ,HS online + phỏng vấn,Nộp trên cổng ISSS UO,https://isss.uoregon.edu/icsp,,Có,,,
Commonwealth Master’s Scholarships (Developing Commonwealth),Commonwealth Scholarship Commission (UK),Chính phủ,Toàn phần,"Học phí, sinh hoạt, vé máy bay…",Đề cử qua Nominating Agency hoặc ĐH UK,Q3–Q4,Theo call,Theo call,Chưa rõ,Có,Công dân LMIC Khối Thịnh vượng chung,Theo danh sách CSC,Không giới hạn,Master toàn thời gian tại UK,Cử nhân,Chưa rõ,Chưa rõ,Ưu tiên kinh nghiệm/phát triển,Năng lực học thuật + tác động phát triển,Theo CSC,Hồ sơ online CSC + đề cử,Nộp qua CSC,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships/,,Có,,,
University of Geneva Excellence Masters Fellowships,University of Geneva – Faculty of Science,Trường,Phần/Toàn phần (tuỳ quỹ đối tác),Fellowship cho MSc khoa học tại UNIGE,Tự nộp trực tuyến,Q1,Chưa rõ,28/02/2025,Chưa rõ,Có,Mở toàn cầu,Không,Khoa học tự nhiên,Master of Science tại Faculty of Science,Cử nhân,Chưa rõ,Chưa rõ,Không bắt buộc,"Xuất sắc học thuật, động lực nghiên cứu",Theo quy định UNIGE,Hồ sơ online + tài liệu,Nộp trên cổng UNIGE,https://www.unige.ch/sciences/en/enseignements/formations/masters/excellencemasterfellowships,,Có,,,
Swiss Government Excellence Scholarships (Art scholarships – Master’s degree),State Secretariat for Education,Research and Innovation (SERI,Switzerland),Chính phủ,Toàn phần/Phần (tuỳ nước),Dành cho nghệ thuật: theo học **Master nghệ thuật đầu tiên** tại trường nghệ thuật/nhạc viện Thuỵ Sĩ,Tự nộp (qua ĐSQ Thuỵ Sĩ tại nước sở tại),Q3,Theo call từng nước,Theo call từng nước,Chưa rõ,Có,Phụ thuộc danh sách nước đủ điều kiện,Theo danh sách SERI,Nghệ thuật (Art/Fine Arts/Music),Master nghệ thuật lần đầu,Cử nhân,Chưa rõ,Chưa rõ,Không bắt buộc,"Hồ sơ nghệ thuật, thành tích",Theo SERI,HS qua ĐSQ + đề cử,Nộp theo hướng dẫn SERI,https://www.sbfi.admin.ch/en/swiss-government-excellence-scholarships,,Có,
EPFL Excellence Fellowship,École Polytechnique Fédérale de Lausanne (EPFL),Trường,CHF 10.000/kỳ (tối đa 4 kỳ) + hỗ trợ chỗ ở (ứng viên ngoài EPFL),Không bao gồm học phí; hỗ trợ thêm theo FAQ,Tự nộp (đi kèm hồ sơ Master),Q4–Q1,Theo vòng EPFL,Theo vòng EPFL,Chưa rõ,Có,Mở toàn cầu,Không,Theo chương trình Master EPFL,Master tại EPFL,Cử nhân,Chưa rõ,Chưa rõ,Không bắt buộc,Xuất sắc học thuật,Theo quy định EPFL,Hồ sơ Master + phần học bổng,Nộp qua cổng EPFL,https://www.epfl.ch/education/master/master-excellence-fellowships/,,Có,,,
ARES Scholarships in Belgium for Developing Countries (ARES),ARES (Wallonia-Brussels Federation),Chính phủ,Toàn phần,Master nâng cao/tiến tu nghiệp 2–6 tháng; gói chi phí theo call,Tự nộp trực tuyến,Q3–Q4,Theo call,Theo call,Chưa rõ,Có,Các nước đối tác,Theo danh sách ARES,Theo chương trình ARES,Advanced Master/Training,Cử nhân,Chưa rõ,Chưa rõ,Kinh nghiệm (tùy chương trình),Học thuật + cam kết phát triển,Theo ARES,Hồ sơ online,Nộp qua cổng ARES,https://www.ares-ac.be/en,,Có,,,
UNIL Master’s Grants in Switzerland for Foreign Students - University of Lausanne (bản 2),University of Lausanne (UNIL),Trường,CHF 1.600/tháng (10 tháng/năm),Như hàng “UNIL Master’s Grants – bản 1”,Tự nộp trực tuyến,Q3–Q4,Theo call,01/11 hằng năm,~10/năm,Có,Mở toàn cầu,Không,Theo chương trình được chấp nhận,Master tại UNIL,Cử nhân,Chưa rõ,Chưa rõ,Không bắt buộc,Học thuật xuất sắc; ngoại ngữ theo chương trình,Theo quy định UNIL,Hồ sơ online,Nộp qua form UNIL,https://www.scholars4dev.com/6578/switzerland-univeristy-lausanne-scholarships-for-international-students/,Bản trùng nội dung do bạn liệt kê hai lần,Có,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Bleumink Scholarships at University of Groningen,University of Groningen,Trường,Toàn phần học phí + vé máy bay + sinh hoạt + sách + bảo hiểm,"Tài trợ cho chương trình Thạc sĩ 1–2 năm; ứng viên không tự nộp, do trường đề cử",Nộp hồ sơ nhập học chương trình ThS và được trường đề cử,Chưa rõ,Chưa rõ,Chưa rõ,Chưa rõ,Có,Ứng viên quốc tế,Không nêu,Không,Không nêu,Cử nhân hoặc tương đương,Không nêu,Không nêu,Ưu tiên thành tích học thuật xuất sắc,Được trường đề cử dựa trên hồ sơ học thuật,Theo tiến độ/điều kiện của quỹ,Thư nhập học,bảng điểm,hộ chiếu...,Được trường đề cử sau khi nộp nhập học ThS,https://www.rug.nl/education/scholarships/eric-bleumink-fellowship?lang=en,Gói do quỹ EBF quản lý; không nộp trực tiếp.,Có,
Master’s in Education for Global Futures – Scholarship route (University of Oulu),University of Oulu,Trường,Miễn/giảm học phí (học bổng học phí),Học bổng học phí cạnh tranh cho sinh viên quốc tế chương trình EdGlo,Trực tuyến qua cổng Apply for Master’s,Oulu không nêu,Chưa rõ,Chưa rõ,Chưa rõ,Có,Ứng viên quốc tế,Không nêu,Không,Giáo dục (EdGlo),Cử nhân hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Thành tích học thuật & động lực,Theo quy định học bổng của trường,Đơn nhập học,bài luận động lực...,Nộp cùng hồ sơ nhập học,https://www.oulu.fi/en/apply/how-apply/university-oulu-tuition-fees-and-scholarships-for-international-applicants,Áp dụng cho EdGlo,Chưa rõ,,
Master’s in Learning,Education and Technology – Scholarship route (University of Oulu),University of Oulu,Trường,Miễn/giảm học phí (học bổng học phí),Học bổng học phí cạnh tranh cho LET,Một cửa cùng hồ sơ nhập học,Chưa rõ,Chưa rõ,Chưa rõ,Chưa rõ,Có,Ứng viên quốc tế,Không nêu,Không,Giáo dục/CNTT giáo dục (LET),Cử nhân hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Thành tích học thuật & động lực,Theo quy định học bổng của trường,Đơn nhập học + hồ sơ chuẩn,Qua cổng của trường,https://www.oulu.fi/en/apply/masters-learning-education-and-technology,Áp dụng cho LET,Chưa rõ,,
Master Mind Scholarship (Flanders),Flemish Ministry of Education & Training,Chính phủ,€10.020/năm + miễn học phí,Học bổng cho Thạc sĩ tại Flanders/Brussels; các trường đề cử,Được trường đề cử và nộp trên hệ thống,Thường thông báo đầu năm,Chưa rõ,Chưa rõ,~30 suất/năm,Có,Ứng viên quốc tế,Ưu tiên vài quốc gia,nhiều ngành,Chương trình Thạc sĩ tại các ĐH Flanders,Cử nhân hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Hồ sơ học thuật xuất sắc,Theo quy định của chương trình,Đơn,bảng điểm,hộ chiếu...,Theo hướng dẫn từng trường/Study in Flanders,https://www.studyinflanders.be/scholarships/master-mind-scholarships,Nhiều ĐH ở Flanders tham gia,Có,
Inspiring the Outstanding Scholarship (KU Leuven),KU Leuven,Trường,Toàn phần (miễn toàn bộ học phí + hỗ trợ sinh hoạt/khác theo thông báo năm),Học bổng toàn phần cho tất cả chương trình ThS/ThS nâng cao,Kèm hồ sơ nhập học KU Leuven,Thường công bố theo năm,Chưa rõ,Chưa rõ,Chưa rõ,Có,Ứng viên quốc tế,Không nêu,Không,Không nêu,Cử nhân hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Thành tích học thuật xuất sắc,Theo quy định chương trình,Đơn nhập học + tài liệu hỗ trợ,Đăng ký chương trình rồi đăng ký học bổng,https://www.kuleuven.be/scholarships/year/2026-2027/inspiring-the-outstanding-scholarship,Thông tin cụ thể cập nhật theo niên khóa,Chưa rõ,,,
KU Leuven ASEAN Scholarship,KU Leuven,Trường,Toàn phần (theo thông báo niên khóa),Dành cho 1 ứng viên xuất sắc từ ASEAN (ThS/ThS nâng cao),Kèm hồ sơ nhập học + form đăng ký,Theo niên khóa,Chưa rõ,Chưa rõ,Thường 1 suất/năm,Có,Quốc tịch ASEAN,ASEAN,Không,Không nêu,Cử nhân hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Thành tích xuất sắc & động lực,Theo quy định,Đơn nhập học + form học bổng,Theo hướng dẫn KU Leuven,https://www.kuleuven.be/scholarships/year/2025-2026/ku-leuven-asean-scholarship,Nêu rõ chỉ tiêu nhỏ,Chưa rõ,,,
INEMA with EPOS (DAAD) – International Education Management,DAAD (EPOS) + PH Ludwigsburg & Helwan University,Chính phủ,"Trợ cấp hàng tháng, BHYT, vé máy bay, hỗ trợ khác theo EPOS",EPOS tài trợ học Thạc sĩ phát triển; chương trình INEMA liên kết Đức–Ai Cập,Nộp qua trường/DAAD theo lịch EPOS,Hàng năm (EPOS),Chưa rõ,~15/03 (thường niên EPOS),Giới hạn,Có,Ứng viên các nước đang phát triển,Theo EPOS,Ưu tiên ngành phát triển/giáo dục,Cử nhân liên quan,Không nêu,Ưu tiên có liên quan phát triển,≥2 năm kinh nghiệm (EPOS),Thành tích + động lực + kinh nghiệm,Theo EPOS (duy trì tiến độ),Hồ sơ EPOS đầy đủ,Theo hướng dẫn INEMA/DAAD,https://www.ph-ludwigsburg.de/fakultaet-1/institut-fuer-bildungsmanagement/international-educational-leadership-and-management/masters-program-international-education-management,Theo EPOS yêu cầu ≥2 năm KN,Có,,,,
Guillaume Dupaix International Master’s Scholarship,University of Luxembourg (với Bộ Ngoại giao & Bộ Giáo dục Luxembourg),Trường,"Hỗ trợ đáng kể + chỗ ở KTX (≈€500–€650/tháng, tối đa 2 năm)",Nhằm thu hút SVQT xuất sắc vào các ThS tại UL,Nộp trực tuyến đến UL,Theo đợt,Chưa rõ,Chưa rõ,Chưa rõ,Có,Ứng viên quốc tế,Không nêu,Không,Không nêu,Cử nhân hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Thành tích học thuật,Theo quy định học bổng,Đơn + hồ sơ học thuật,Theo UL,https://www.uni.lu/life-en/financial-support/scholarships/guillaume-dupaix-international-scholarship/,Không cộng dồn với một số tài trợ khác,Có,,,
IOE–International Students House Centenary Master’s Scholarship,UCL Institute of Education (UCL) + International Students House,Trường,Miễn toàn bộ học phí + chỗ ở tại ISH 1 năm,Không bao gồm sinh hoạt phí khác; có bản Doctoral khác có stipend,Nộp trực tuyến theo IOE,Theo năm,Chưa rõ,Chưa rõ,Không nêu,Có,Ứng viên quốc tế,Không nêu,Không,Ngành thuộc IOE,Cử nhân hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Thành tích + phù hợp ngành giáo dục,Theo quy định (tối đa 1 năm cho ThS),Hồ sơ học thuật + bài luận,Theo IOE hướng dẫn,https://www.ucl.ac.uk/ioe/about-ioe/our-global-reach/scholarships-and-funding,ThS không có stipend; chỉ miễn phí + nhà ở,Có,,,
Think Big Postgraduate Scholarship - University of Bristol,University of Bristol,Trường,£6,500/£13,000/£26,000 (hỗ trợ học phí),Áp dụng năm đầu ThS; không chi trả sinh hoạt,Trực tuyến qua Bristol,Theo chu kỳ,Chưa rõ,10/04/2026 (ví dụ năm 2026),Không nêu,Có,Ứng viên quốc tế,Không nêu,Không,Không nêu,Cử nhân hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Thành tích học thuật & động lực,Theo quy định,Đơn + bài luận,Theo hướng dẫn của trường,https://www.bristol.ac.uk/students/support/finances/scholarships/think-big-scholarships/,Mức giải thưởng cố định theo năm,Có
GREAT Scholarship,British Council + UK Government + các đại học đối tác,Chính phủ,Ít nhất £10,000 học phí cho ThS 1 năm,Đồng tài trợ bởi Chính phủ UK (GREAT) + British Council + các trường,Nộp qua đại học đối tác (theo nước/ngành),Theo đợt từng năm,Chưa rõ,Chưa rõ,~200+ suất (toàn chương trình),Có,Ứng viên từ các nước mục tiêu,Theo từng quốc gia,Không,Cử nhân hoặc tương đương,Cử nhân hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Học thuật & phù hợp ngành,Theo trường quản lý,Đơn vào trường + form học bổng,https://study-uk.britishcouncil.org/scholarships-funding/great-scholarships,Giá trị tối thiểu £10k,Có,,,
La Trobe Master of Business Analytics Scholarship,La Trobe University,Trường,Giảm 50% học phí toàn khoá,Áp dụng cho học viên Master of Business Analytics (đợt 2025…),Trực tuyến cùng/ sau nhập học,Theo đợt,Chưa rõ,Chưa rõ,Không nêu,Có,Ứng viên quốc tế,Không nêu,Không,Master of Business Analytics,Cử nhân hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Thành tích học thuật,Theo quy định (duy trì tiến độ),Hồ sơ học thuật + điều kiện chương trình,Nộp theo hướng dẫn La Trobe,https://www.latrobe.edu.au/study/scholarships/other/la-trobe-master-of-business-analytics-scholarship,Áp dụng các khoá MBAn cụ thể,Có,,,
La Trobe Vice Chancellor Scholarship,La Trobe University,Trường,Giảm 50% hoặc 100% học phí,Học bổng danh giá cho SVQT xuất sắc; có vai trò đại sứ,Trực tuyến,Theo đợt,Chưa rõ,Chưa rõ,Không nêu,Có,Ứng viên quốc tế,Không nêu,Không,Theo chương trình đăng ký ThS/Cử nhân,Cử nhân (với ThS yêu cầu bằng trước),Không nêu,Không nêu,Không bắt buộc,Học thuật xuất sắc & hoạt động ngoại khoá,Theo quy định,Đơn + minh chứng thành tích,Theo hướng dẫn,https://www.latrobe.edu.au/study/scholarships/other/la-trobe-vice-chancellor-scholarship,Mức 50%/100%,Có,,,
La Trobe Artificial Intelligence Scholarship,La Trobe University,Trường,Giảm 50% học phí,Áp dụng cho các khoá AI chỉ định (từ 2025),Trực tuyến,Theo đợt,Chưa rõ,Chưa rõ,Không nêu,Có,Ứng viên quốc tế,Không nêu,Không,N/ A (tuỳ khoá AI),Cử nhân hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Học thuật/động lực,Theo quy định,Đơn + nhập học khoá AI,Theo hướng dẫn,https://www.latrobe.edu.au/study/scholarships/other/la-trobe-artificial-intelligence-scholarship,Áp dụng danh mục khoá AI,Có,,,
Uppsala University – Master’s Scholarships,Uppsala University,Trường,Miễn toàn bộ học phí,Không bao gồm sinh hoạt; cạnh tranh cao,Trực tuyến,Theo mùa tuyển,Chưa rõ,Chưa rõ,Không nêu,Có,Ứng viên quốc tế phải đóng học phí,Không nêu,Không,Chương trình Thạc sĩ tại UU,Cử nhân hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Học thuật xuất sắc,Theo quy định,Đơn + hồ sơ học thuật,Nộp trên hệ thống của UU,https://www.uu.se/en/study/masters-studies/scholarships,Chỉ miễn học phí,Có,,,
Karolinska Institutet – Global Master’s Scholarship,Karolinska Institutet,Trường,Miễn học phí,Khoảng 10 suất/năm; không bao gồm sinh hoạt,Trực tuyến,Theo mùa tuyển,Chưa rõ,Chưa rõ,~10 suất/năm,Có,Ứng viên quốc tế phải đóng học phí,Không nêu,Không,Các Global Master’s tại KI,Cử nhân hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Học thuật xuất sắc,Theo quy định,Đơn + hồ sơ,Kèm đơn nhập học,https://education.ki.se/bachelors-masters-studies/scholarships/the-ki-global-masters-scholarships-for-fee-paying-students,Chỉ miễn học phí,Có,,,
Stockholm University – Scholarship Scheme,Stockholm University,Trường,Miễn toàn bộ học phí,Không bao gồm sinh hoạt,Trực tuyến,Theo mùa tuyển,Chưa rõ,Chưa rõ,Không nêu,Có,Ứng viên ngoài EU/EEA/CH phải đóng học phí,Không nêu,Không,Chương trình Thạc sĩ tại SU,Cử nhân hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Học thuật xuất sắc,Theo quy định,Đơn + hồ sơ,Theo hướng dẫn,https://www.su.se/scholarships,Chỉ học phí,Có,,,
Linköping University – LiU International Scholarship,Linköping University,Trường,Giảm học phí (thường 50%),Quy định có thể 25/50/75%; yêu cầu duy trì ≥75% tín chỉ năm 1,Trực tuyến,Theo mùa tuyển,Chưa rõ,Chưa rõ,Không nêu,Có,Ứng viên ngoài EU/EEA/CH phải đóng học phí,Không nêu,Không,Chương trình Thạc sĩ tại LiU,Cử nhân hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Học thuật xuất sắc,Duy trì tiến độ để gia hạn,Đơn + hồ sơ,Theo hướng dẫn,https://liu.se/en/article/scholarships,Quy định gia hạn ≥75% tín chỉ,Có,,,
Tampere University – Scholarships Programme,Tampere University,Trường,Giảm 50% học phí (tuỳ suất; có Finland Scholarship năm 1 ở một số chương trình),Học bổng xét cùng tuyển sinh; Finland Scholarship có thể kèm trợ cấp di chuyển,Trực tuyến,Theo mùa tuyển,Chưa rõ,Chưa rõ,Không nêu,Có,Ứng viên ngoài EU/EEA phải đóng học phí,Không nêu,Không,Chương trình Thạc sĩ tại TAU,Cử nhân hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Học thuật & động lực,Theo quy định,Đơn + thư động lực học bổng,Nộp kèm đơn trên Studyinfo,https://www.tuni.fi/en/study-with-us/apply-to-tampere-university/financial-matters/tuition-fees-scholarships,Chi tiết mức hỗ trợ tuỳ năm,Có,,,
Aalto University – Scholarship Programme,Aalto University,Trường,Miễn toàn bộ học phí (Excellence) hoặc miễn/giảm học phí,Miễn học phí cho thời gian tiêu chuẩn của bằng ThS,Trực tuyến,Theo mùa tuyển,Chưa rõ,Chưa rõ,Không nêu,Có,Ứng viên ngoài EU/EEA phải đóng học phí,Không nêu,Không,Chương trình Thạc sĩ tại Aalto,Cử nhân hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Học thuật xuất sắc,Theo quy định,Đơn + hồ sơ,Đăng ký học bổng trong quá trình nộp hồ sơ,https://www.aalto.fi/en/international-students/scholarships-study-right-started-on-or-after-1-august-2025,Excellence = 100% học phí,Có,,,
University of Helsinki – Scholarship Programme,University of Helsinki,Trường,Miễn 50% hoặc 100% học phí (tuỳ suất),Chủ yếu là miễn 50%; không bao gồm sinh hoạt. Có quỹ Finland Scholarship riêng ở một số chương trình.,Trực tuyến,Theo mùa tuyển,Chưa rõ,Chưa rõ,Không nêu,Có,Ứng viên ngoài EU/EEA phải đóng học phí,Không nêu,Không,Thạc sĩ tại UH,Cử nhân hoặc tương đương,Không nêu,Không nêu,Không bắt buộc,Học thuật xuất sắc & động lực,Duy trì ≥55 ECTS/năm để tiếp tục,Đơn + hồ sơ,Đăng ký cùng hồ sơ nhập học,https://www.helsinki.fi/en/admissions-and-education/apply-bachelors-and-masters-programmes/tuition-fees-and-scholarship-programme,Trang chính thức nêu rõ 50%/100%,Có,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL Scholarship (Holland Scholarship),Nuffic / Bộ Giáo dục,Văn hoá & Khoa học Hà Lan,Chính phủ,"€5.000 (một lần, năm đầu)",Chỉ là khoản hỗ trợ 1 năm; **không** bao gồm chi phí sinh hoạt,Trường đối tác xét & đề cử,Q4–Q1,Theo trường,Theo trường,Không nêu,Có,Sinh viên ngoài EEA,Non-EEA,Không giới hạn,UG/PG tại trường NL tham gia,Cử nhân (đầu vào Master),Không nêu,Không nêu,Không bắt buộc,Thành tích học thuật,Không áp dụng (1 lần),Hồ sơ nhập học + form học bổng,Qua trường tham gia chương trình,https://www.studyinnl.org/finances/nl-scholarship,Tên cũ: Holland Scholarship; mức €5.000/1 năm.,Có,,
Leiden University Excellence Scholarship (LExS) – Leiden University,Leiden University,Trường,Giảm/miễn học phí (mức do LExS quy định),"Rất cạnh tranh, khoảng ~25 suất/năm",Nộp cùng hồ sơ Master,Q3–Q1,Theo vòng tuyển sinh,Theo vòng tuyển sinh,~25/năm (ước tính công bố),Có,Ứng viên ngoài EEA/EFTA,Non-EEA/EFTA,Theo chương trình Master,Master tại Leiden,Cử nhân,Không nêu,Không nêu,Không bắt buộc,Thành tích học thuật xuất sắc,Duy trì tiến độ,HS Master + phần LExS,Qua cổng của Leiden,https://www.universiteitleiden.nl/en/scholarships/sea/leiden-university-excellence-scholarship-lexs,Trường nêu ~25 suất/năm.,Có,,,
